geonameid,asciiname,countrycode,latitude,longitude,feature code,population
616062,Vagharshapat,AM,40.16557,44.29462,PPL,46540
616194,Stepanavan,AM,41.00995,44.38531,PPL,23782
616199,Spitak,AM,40.83221,44.26731,PPL,15059
616250,Sevan,AM,40.5473,44.94171,PPL,17083
616435,Masis,AM,40.06572,44.41913,PPL,18911
616530,Vanadzor,AM,40.80456,44.4939,PPLA,101098
616599,Gavar,AM,40.35398,45.12386,PPLA,21680
616629,Hrazdan,AM,40.49748,44.7662,PPLA,40795
616631,Armavir,AM,40.15446,44.03815,PPLA,25963
616635,Gyumri,AM,40.7942,43.84528,PPLA,148381
616877,Ashtarak,AM,40.2991,44.36204,PPLA,18779
617026,Abovyan,AM,40.27368,44.63348,PPL,35673
145531,Saurimo,AO,-9.66078,20.39155,PPLA,40498
145724,Lucapa,AO,-8.41915,20.74466,PPL,20115
876177,Luau,AO,-10.70727,22.22466,PPL,18465
2236568,Uige,AO,-7.60874,15.06131,PPLA,60008
2236967,Soio,AO,-6.1349,12.36894,PPL,67491
2239001,N'zeto,AO,-7.23116,12.8666,PPL,18352
2239076,N'dalatando,AO,-9.29782,14.91162,PPLA,383100
2239520,Mbanza Kongo,AO,-6.26667,14.23833,PPLA,24220
2239862,Malanje,AO,-9.54015,16.34096,PPLA,87046
2240449,Luanda,AO,-8.83682,13.23432,PPLC,2776168
2242001,Caxito,AO,-8.57848,13.66425,PPLA,28224
2243271,Cabinda,AO,-5.55,12.2,PPLA,66020
3346015,Sumbe,AO,-11.20605,13.84371,PPLA,33277
3347019,Mocamedes,AO,-15.19611,12.15222,PPLA,80149
3347353,Menongue,AO,-14.6585,17.69099,PPLA,32203
3347719,Luena,AO,-11.78333,19.91667,PPLA,21115
3347762,Lubango,AO,-14.91717,13.4925,PPLA,102541
3347853,Longonjo,AO,-12.90795,15.24845,PPL,24346
3347939,Lobito,AO,-12.3644,13.53601,PPL,207932
3348078,Cuito,AO,-12.38333,16.93333,PPLA,113624
3348313,Huambo,AO,-12.77611,15.73917,PPLA,226145
3350246,Catumbela,AO,-12.43002,13.54677,PPL,16977
3350372,Catabola,AO,-12.15,17.28333,PPL,18855
3351014,Camacupa,AO,-12.01667,17.48333,PPL,19150
3351500,Caala,AO,-12.8525,15.56056,PPL,21205
3351663,Benguela,AO,-12.57626,13.40547,PPLA,151226
3427213,Zarate,AR,-34.09814,-59.02858,PPLA2,88781
3427327,Wanda,AR,-25.96879,-54.56285,PPL,15529
3427387,Villa Ortuzar,AR,-34.57973,-58.46829,PPLX,22500
3427388,Villa Ocampo,AR,-28.48752,-59.35515,PPL,19101
3427408,Villa Lugano,AR,-34.67907,-58.47263,PPLX,114000
3427428,Villaguay,AR,-31.8653,-59.02689,PPLA2,32027
3427431,Villa Gesell,AR,-37.26394,-56.97304,PPL,23257
3427453,Villa de Mayo,AR,-34.5108,-58.68059,PPL,43405
3427687,Tortuguitas,AR,-34.47513,-58.75367,PPL,41390
3427761,Tigre,AR,-34.42603,-58.57962,PPL,31106
3427833,Tandil,AR,-37.32167,-59.13316,PPLA2,104325
3428068,San Vicente,AR,-26.61667,-54.13333,PPL,38247
3428071,Santo Tome,AR,-28.54939,-56.04077,PPLA2,22634
3428075,Santos Lugares,AR,-34.60379,-58.5461,PPL,37267
3428359,Santa Elena,AR,-30.94432,-59.78832,PPL,18410
3428576,San Pedro,AR,-33.67918,-59.66633,PPLA2,47452
3428577,San Pedro,AR,-26.62207,-54.10842,PPLA2,23736
3428708,San Luis del Palmar,AR,-27.5079,-58.55454,PPLA2,15347
3428759,San Lorenzo,AR,-28.13306,-58.76733,PPL,47626
3428975,San Javier,AR,-30.57781,-59.9317,PPLA2,15606
3428992,San Isidro,AR,-34.4721,-58.52708,PPLA2,45190
3429403,Saladas,AR,-28.25384,-58.62591,PPLA2,18349
3429576,Retiro,AR,-34.58333,-58.38333,PPLX,38635
3429577,Resistencia,AR,-27.46056,-58.98389,PPLA,387158
3429594,Reconquista,AR,-29.15,-59.65,PPLA2,90184
3429652,Quilmes,AR,-34.72904,-58.26374,PPLA2,230000
3429732,Puerto Rico,AR,-26.79598,-55.02402,PPLA2,17491
3429777,Puerto Iguazu,AR,-25.59912,-54.57355,PPLA4,32038
3429786,Puerto Esperanza,AR,-26.02267,-54.61356,PPLA2,15579
3429790,Puerto Eldorado,AR,-26.40843,-54.69463,PPL,54189
3429886,Posadas,AR,-27.36708,-55.89608,PPLA,323739
3429902,Pontevedra,AR,-34.74785,-58.70072,PPL,33515
3429949,Pirane,AR,-25.73239,-59.10879,PPLA2,19124
3429980,Pilar,AR,-34.45866,-58.9142,PPLA2,226517
3430104,Paso de los Libres,AR,-29.71251,-57.08771,PPLA2,43805
3430340,Obera,AR,-27.48706,-55.11994,PPLA2,56528
3430443,Necochea,AR,-38.5545,-58.73961,PPLA2,80478
3430513,Muniz,AR,-34.55622,-58.70739,PPL,26221
3430545,Moron,AR,-34.6509,-58.61956,PPLA2,319934
3430598,Monte Caseros,AR,-30.25359,-57.63626,PPLA2,24671
3430601,Montecarlo,AR,-26.5662,-54.757,PPLA2,22229
3430697,Merlo,AR,-34.66627,-58.72927,PPLA2,244168
3430708,Mercedes,AR,-34.65145,-59.43068,PPLA2,52949
3430709,Mercedes,AR,-29.18416,-58.07519,PPLA2,30649
3430863,Mar del Plata,AR,-38.00042,-57.5562,PPLA2,553935
3430988,Lujan,AR,-34.57028,-59.105,PPLA2,81749
3431057,Los Polvorines,AR,-34.50316,-58.70596,PPL,53354
3432043,La Plata,AR,-34.92145,-57.95453,PPLA,694167
3432079,La Paz,AR,-30.74179,-59.64517,PPLA2,24716
3433349,Jardin America,AR,-27.04346,-55.22698,PPL,24905
3433522,Hurlingham,AR,-34.5904,-58.62904,PPLA2,60000
3433658,Gualeguaychu,AR,-33.00937,-58.51722,PPLA2,78676
3433663,Gualeguay,AR,-33.14156,-59.30966,PPLA2,33120
3433715,Goya,AR,-29.13995,-59.26343,PPLA2,70245
3433753,Gobernador Virasora,AR,-28.05,-56.03333,PPL,28756
3433787,General Pacheco,AR,-34.45256,-58.64312,PPL,43287
3433803,General Jose de San Martin,AR,-26.53743,-59.34158,PPLA2,31758
3433836,Garupa,AR,-27.48171,-55.82921,PPL,28814
3433899,Formosa,AR,-26.18489,-58.17313,PPLA,221383
3433901,Fontana,AR,-27.41813,-59.02392,PPL,26745
3433956,Federal,AR,-30.95465,-58.78326,PPLA2,16333
3434095,Esquina,AR,-30.01476,-59.5289,PPLA2,26399
